ID;Type of Car;Visits to Website;Visits to Dealer;HH Rank;Age;Income;Net Worth;Credit Lines;Education;Num Kids;Years in Home;Num People;Home Value
11;SUV;1;0;1;49;16;9;3;2;4;14;5;17
19;Basic Sedan;0;0;1;63;17;9;4;3;4;8;4;17
29;Basic Sedan;0;0;1;55;17;7;1;2;2;13;1;10
30;Luxury Sedan;1;0;1;70;16;9;1;3;4;15;5;17
101;Luxury Sedan;1;0;1;63;14;9;1;3;2;15;3;13
125;Luxury Sedan;0;0;1;56;14;8;1;2;1;6;2;7
130;Luxury Sedan;1;0;1;60;15;9;2;3;2;15;3;12
155;SUV;0;0;1;53;19;9;3;2;3;15;3;17
158;Luxury Sedan;1;0;1;73;15;9;1;2;0;15;2;16
207;Luxury Sedan;1;0;1;55;16;7;2;1;0;11;2;12
208;SUV;1;0;1;49;17;9;4;1;6;9;2;15
247;Luxury Sedan;1;0;1;56;14;8;2;1;1;15;2;11
251;Basic Sedan;1;0;1;71;14;9;1;3;4;15;2;17
318;Luxury Sedan;1;0;1;50;18;8;1;1;2;15;2;14
377;Basic Sedan;1;0;1;58;18;9;1;2;6;7;2;14
425;Luxury Sedan;1;0;1;56;17;9;1;2;1;15;2;16
468;Luxury Sedan;0;0;1;69;17;9;6;2;1;15;3;15
475;SUV;1;0;1;75;14;6;1;2;2;15;4;14
490;SUV;0;0;1;64;16;9;1;1;3;15;5;15
537;Basic Sedan;1;0;1;77;6;2;1;1;1;2;3;4
550;Luxury Sedan;1;0;2;64;17;8;1;2;1;15;6;14
582;Luxury Sedan;1;0;1;61;17;9;4;1;2;4;5;17
600;Luxury Sedan;0;0;1;57;15;8;1;1;2;15;2;10
619;Basic Sedan;0;0;1;68;14;8;2;2;8;8;3;12
659;Luxury Sedan;1;0;1;74;17;9;1;1;1;15;2;14
663;Luxury Sedan;1;0;1;57;14;4;6;2;4;10;3;6
686;Pickup Truck;1;0;1;71;13;7;1;2;0;12;2;11
717;Luxury Sedan;1;0;1;72;18;9;1;2;0;15;1;17
730;Luxury Sedan;0;0;1;60;19;8;5;1;1;15;2;12
875;Luxury Sedan;1;0;1;72;17;9;2;1;2;15;4;18
912;Luxury Sedan;1;0;1;73;15;9;1;2;0;15;3;17
932;Basic Sedan;1;0;1;69;15;7;3;2;1;15;5;17
968;SUV;1;0;1;46;15;7;1;2;3;13;1;14
974;Pickup Truck;1;0;1;61;14;4;1;1;3;15;2;3
1024;SUV;1;0;1;47;19;9;1;2;6;10;3;19
1057;Luxury Sedan;1;0;1;58;16;9;1;1;1;6;3;14
1146;Luxury Sedan;1;0;1;63;17;9;4;1;1;9;4;18
1224;Basic Sedan;1;0;1;57;14;7;1;1;6;13;3;15
1274;Pickup Truck;1;1;1;69;15;8;1;2;4;15;4;10
1280;SUV;0;0;1;53;17;8;1;2;4;15;4;16
1287;Luxury Sedan;1;0;1;69;14;7;4;4;1;15;3;7
1302;Luxury Sedan;0;1;1;62;19;9;2;3;0;11;2;19
1307;Luxury Sedan;0;0;1;78;16;9;2;3;1;14;5;16
1354;SUV;1;2;1;53;17;9;1;1;4;15;4;13
1359;SUV;1;0;1;52;19;8;1;3;5;10;2;13
1376;Luxury Sedan;1;0;1;72;15;9;1;1;0;15;2;12
1377;Luxury Sedan;0;0;1;55;19;9;1;2;3;15;4;18
1450;Luxury Sedan;1;0;1;65;19;9;1;3;0;15;2;17
1460;SUV;1;0;1;53;17;7;2;1;3;10;2;5
1467;SUV;1;0;1;45;19;9;1;2;6;13;2;17
1487;SUV;1;0;1;45;19;9;1;1;4;2;2;17
1508;Luxury Sedan;1;0;1;41;19;9;3;3;1;2;2;18
1518;Luxury Sedan;1;0;1;77;15;6;1;1;5;15;3;10
1543;Basic Sedan;0;0;1;74;13;7;2;1;0;10;2;17
1553;SUV;1;0;1;53;19;9;2;2;5;13;2;16
1560;Luxury Sedan;1;0;1;52;19;9;2;3;2;15;2;18
1577;Luxury Sedan;1;0;1;74;10;8;1;1;0;15;2;12
1583;Luxury Sedan;1;0;1;49;16;8;2;2;0;15;2;15
1588;Basic Sedan;1;0;1;59;15;7;1;3;3;14;3;12
1589;Pickup Truck;1;0;1;57;16;7;1;3;3;15;2;14
1616;Basic Sedan;1;0;1;55;10;5;1;1;1;15;4;9
1617;Luxury Sedan;1;0;1;57;15;9;3;1;2;15;5;13
1685;SUV;0;0;1;53;19;9;1;1;3;15;5;14
1724;Basic Sedan;1;0;1;70;7;4;3;1;4;15;2;4
1725;SUV;1;1;1;51;19;9;9;2;4;7;2;13
1728;Basic Sedan;1;0;1;68;9;7;1;2;1;11;1;7
1800;Basic Sedan;1;0;1;75;15;6;2;2;1;12;4;4
1812;Luxury Sedan;1;0;1;70;15;8;5;2;0;15;3;10
1841;Luxury Sedan;1;0;1;59;15;8;1;2;2;15;3;12
1861;SUV;1;0;1;43;15;7;1;2;6;15;2;7
1877;Pickup Truck;1;0;1;69;10;6;5;1;0;4;3;10
1894;Luxury Sedan;1;0;1;49;19;9;1;2;2;10;4;14
1917;Luxury Sedan;0;1;1;59;17;9;2;2;1;15;2;10
1964;Luxury Sedan;0;0;1;75;16;9;3;2;1;15;2;17
2001;Luxury Sedan;1;0;1;55;17;8;2;2;1;15;5;14
2022;Luxury Sedan;1;0;1;57;19;9;3;2;1;15;3;17
2038;SUV;1;0;1;43;16;9;1;2;3;15;2;15
2047;Luxury Sedan;1;0;1;67;17;9;4;2;2;15;2;19
2111;Basic Sedan;1;0;1;73;14;7;2;3;1;3;2;7
2130;Luxury Sedan;0;0;1;72;15;8;2;2;1;11;4;8
2144;SUV;0;0;1;54;13;4;1;3;3;15;4;11
2145;Basic Sedan;1;0;1;78;6;3;2;2;1;3;4;7
2194;Pickup Truck;1;0;1;48;15;4;1;1;2;15;1;6
2201;Basic Sedan;1;0;1;54;14;7;1;1;0;15;2;7
2237;Luxury Sedan;0;0;1;72;15;9;4;2;0;11;2;13
2287;Luxury Sedan;0;0;1;76;14;9;5;1;1;2;3;13
2336;Basic Sedan;1;0;1;54;10;2;1;2;1;15;2;5
2378;Pickup Truck;1;0;1;74;12;6;1;2;3;15;4;12
2392;SUV;1;0;1;34;15;2;1;2;3;12;2;5
2399;Luxury Sedan;1;0;1;64;8;8;1;2;0;15;1;7
2413;Luxury Sedan;0;2;1;74;16;9;2;2;0;15;3;15
2427;Luxury Sedan;1;0;1;63;15;7;1;1;1;10;2;11
2460;Basic Sedan;1;0;2;61;13;8;2;3;3;15;2;7
2530;Pickup Truck;1;0;1;68;18;9;3;1;4;7;5;18
2535;Luxury Sedan;1;0;1;61;15;6;1;1;0;15;4;6
2544;Basic Sedan;1;0;1;70;11;7;1;2;4;15;2;6
2558;Pickup Truck;1;6;1;69;13;8;5;1;3;15;3;6
2572;SUV;1;0;1;53;17;8;3;4;4;15;4;12
2580;Basic Sedan;0;0;1;67;14;7;1;2;1;15;3;6
2613;SUV;0;0;1;53;15;8;1;2;4;12;1;15
2642;Pickup Truck;0;0;1;78;15;7;1;2;0;12;3;10
2703;Luxury Sedan;1;0;1;75;15;8;2;1;1;12;3;9
2710;SUV;1;0;1;48;15;6;4;1;6;2;2;8
2729;Basic Sedan;1;0;1;56;15;9;1;2;3;15;2;10
2761;Basic Sedan;1;0;3;56;18;7;4;2;1;15;4;7
2789;SUV;1;0;1;46;7;1;1;1;5;15;3;4
2796;Luxury Sedan;0;0;1;76;15;9;1;3;0;15;2;12
2860;Basic Sedan;0;0;1;72;14;6;5;3;3;15;3;11
2875;Luxury Sedan;1;0;1;60;18;9;3;2;2;7;5;6
2890;SUV;0;0;2;43;15;5;1;2;0;8;2;9
2943;Luxury Sedan;1;0;1;51;19;9;1;2;0;15;2;17
3031;Luxury Sedan;0;0;1;55;18;9;3;2;1;15;2;15
3096;Basic Sedan;1;0;1;68;16;6;6;1;1;15;2;5
3149;Basic Sedan;1;0;1;58;14;6;1;1;1;15;2;5
3235;SUV;1;0;1;67;15;9;1;1;3;15;3;16
